'abbrev	abbreviation
tmsaisti	That's my story and I'm sticking to it.
tmsg	tell me something good
tmsgo	too much shit going on
tmsidk	tell me somthing I don't know
tmth	too much to handle
tmtmo	text me tomorrow
tmtowtdi	there's more than one way to do it
tmtoyh	Too Much Time On Your Hands
tmtt	tell me the truth
tmw	Too much work
tmwfi	Take my word for it
tmz	tomorrow
tn1	trust no-one
tna	tits and ass
tnc	tongue in cheek
tnf	That's Not Funny
tnlnsl	Took nothing left nothing signed log
tnt	til next time
tntl	trying not to laugh
tnx	thanks
tnxz	thanks
to go nookleer	to explode
tob	teacher over back
tobal	there oughta be a law
tobg	this oughta be good
tofy	Thinking of You
toh	typing one handed
tok	That's ok
tok2ul8r	i'll talk to you later
tolol	thinking of laughing out loud
tom	tomorrow
tomm	tommorow
tomoz	tomorrow
tomtb	taking off my training bra
toon	cartoon
topca	til our paths cross again
topogr	topography, topographic(al)
tos	terms of service
tot	tons of time
totl	total
totm	top of the morning
totp	talking on the phone
totpd	top of the page dance
tou	thinking of you
toy	thinking of you
toya	thinking of you always
tp	toilet paper
tpb	the pirate bay
tpc	the phone company
tpiwwp	this post is worthless without pictures
tps	test procedure specification
tpt	trailor park trash
tptb	the powers that be
tq	Thank You
tqm	total quality management
tr	translation, translating
trad	tradition, traditional
trag	tragedy
tram	the rest are mine
trani	transexual
tranny	Transexual
trans	transitive
transf	transferred sense
transl	translation, translating
transubstant	transubstantiation
trav	travel(s)
trble	trouble
trd	tired
trdmc	tears running down my cheeks
treas	treasurer, treasury
treat	treatise
treatm	treatment
trib	tribune
trig	trigonometry
trigonom	trigonometry
tripdub	triple w
trnsl8	translate
trnsltr	translator
troo	TRUE
trop	tropical
troub	troublesome
troubl	troublesome
trp	television rating points
tru	TRUE
ts	talking shit
tsb	tall, sexy, beautiful
tsc	that's so cool
tsff	thats so fuckin funny
tsia	this says it all
tsif	thank science it's friday
tsig	that site is gay
tsnf	that's so not fair
tsob	tough son of a bitch
tsr	totally stuck in ram
tsra	two shakes of a rat's ass
tss	That's so sweet
tstb	the sooner, the better
tstoac	too stupid to own a computer
tswc	tell someone who cares
tt	big tease
tt4n	ta ta for now
tta	tap that ass
ttbc	Try to be cool
ttbomk	to the best o fmy knowledge
ttc	text the cell
ttfaf	Through the Fire and Flames
ttfn	ta ta for now
ttg	time to go
tthb	try to hurry back
ttihlic	try to imagine how little i care
ttiot	the truth is out there
ttiuwiop	this thread is useless without pics
ttiuwop	this thread is useless without pics
ttiuwp	This Thread Is Useless Without Pictures
ttiwwop	This thread is worthless without pics
ttiwwp	this thread is worthless without pics
ttksf	trying to keep a straight face
ttl	total
ttlly	totally
ttly	totally
ttm	talk to me
ttmf	ta ta mofo
ttml	talk to me later
ttms	talking to myself
ttr	time to run
ttrf	That's the rules, fucker
tts	text to speech
ttt	to the top
ttth	Talk To The Hand
ttthtfal	talk to the hand the face ain't listening
tttka	time to totally kick ass
tttt	to tell the truth
ttul	Talk To You Later
ttul8r	Talk to you later
ttus	talk to you soon
ttut	Talk to you Tomorrow
ttutt	to tell you the truth
tty	Talk to You
ttyab	Talk to you after breakfast
ttyad	Talk to you after Dinner
ttyal	Talk to you after lunch
ttyas	talk to you at school
ttyawfn	talk to you a while from now
ttyiaf	talk/type to you in a few
ttyiam	talk to you in a minute
ttyitm	talk to you in the morning
ttyl	talk to you later
ttyl8r	talk to you later
ttylt	talk to you later today
ttyn	talk to you never
ttyna	talk to you never again
ttynl	talk to you never loser
ttynw	talk to you next week
ttyo	talk to you online
ttyob	tend to your own business
ttyotp	talk to you on the phone
ttyrs	talk to you really soon
ttys	talk to you soon
ttyt	talk to you tomorrow
ttytm	talk to you tomorrow
ttytt	to tell you the truth
ttyw	talk to you whenever
ttywl	Talk to you way later
tu	thank you
tuff	tough
tuh	to
tut	take your time
tuvm	thank you very much
tv	television
tvm	thanks very much
tvm4yem	thank you very much for your e-mail
tw	Teacher Watching
twajs	That was a joke, son.
twat	vagina
twbc	that would be cool
twd	texting while driving
twdah	that was dumb as hell
twf	That was funny
twfaf	thats what friends are for
twg	That was great
twhab	this won't hurt a bit
twhe	the walls have ears
twi	Texting While Intoxicated
twimc	to whom it may concern
twis	that's what I said
twit	that's what i thought
twita	that's what i'm talking about
twiwi	that was interesting, wasn't it?
twoh	typing with one hand
tws2wa	That was so 2 weeks ago
twss	That's what she said
twsy	That was so yeterday
twtr	twitter
twttr	twitter
twu	that's what's up
twvsoy	that was very stupid of you
twyl	Talk With You Later
twys	Talk With You Soon
tx	thanks
txs	thanks
txt	text
txt im	text instant message
txt msg	text message
txting	texting
txtyl	text you later
ty	thank you
tyclo	turn your caps lock off
tyclos	turn your CAPS LOCK off, stupid
tyfi	Thank You for invite
tyfn	thank you for nothing
tyfyc	Thank You For Your Comment
tyfyt	Thank you for your time
tyg	there you go
tyl	text you later
tym	time
tyme	time
typ	thank you partner
typo	typing mistake
typog	typography
typogr	typography
tyred	tired
tys	Told You So
tysfm	thank you so fucking much
tysm	thank you so much
tysvm	thank you so very much
tyt	take your time
tyto	take your top off
tyty	thank you thank you
tyvm	Thank You Very Much
tyvvm	thank you very very much
u	you
u iz a 304	you is a hoe
u up	are you up?
u-l	you will
u'd	you would
u'll	you will
u'r	you're
u'v	you have
u've	You've
u/l	upload
u/n	username
u2	You too
u2u	up to you
u4i	up for it
u8	you ate?
ua	user agreement
uaaaa	Universal Association Against Acronym Abuse
uat	User Acceptance Testing
uayor	Use At Your Own Risk
ub3r	super
uber	over
ubs	unique buying state
uctaodnt	you can't teach an old dog new tricks
ucwap	up a creek without a paddle
udc	you don't care
udek	you don't even know
udh82bme	you'd hate to be me
udm	you're the man
uds	you dumb shit
udwk	you don't want to know
udy	you done yet
ufab	ugly fat ass bitch
ufia	unsolicited finger in the anus
ufic	Unsolicited Finger in Chili
ufmf	you funny mother fucker
ufn	until further notice
ufuf	you fuck, you fix
ug2bk	you've got to be kidding
ugba	you gay bitch ass
ugc	user-generated content
ugfsu	your girlfriend's ugly
ugtr	you got that right
uhab	you have a blog
uhems	you hardly ever make sense
ui	User Interface
ujds	u just did shit
uk	United Kingdom
ukr	You know right
ukwim	you know what i mean
ul	unlucky
ulbom	you looked better on myspace
ult	ultimately
umfriend	sexual partner
un2bo	you need to back off
un4rtun8ly	unfortunately
unf	universal noise of fucking
univ	university
unkn	unknown
unnat	unnatural
unoffic	unofficial
unoit	you know it
unpc	unpolitically correct
unstr	unstressed
unt	until next time
untco	you need to chill out
uok	are you ok?
uom	You owe me
upcia	unsolicited pool cue in anus
upia	unsolicited pencil in anus
upmo	You piss me off
upod	under promise over deliver
upos	you piece of shit
upw	unidentified party wound
ur	your
ur2g	you are too good
ur2k	you are too kind
ur6c	you're sexy
ura	you are a
uradrk	you're a dork
urafb	you are a fucking bitch
urapita	you are a pain in the ass
uraqt	you are a cutie
urcrzy	you are crazy
ure	you are
urg	you are gay
urht	you're hot
urin	urinary
url8	you are late
urms	you rock my socks
urmw	you are my world
urnc	you are not cool
urs	yours
ursab	you are such a bitch
ursai	you are such an idiot
ursdf	you are so damn fine
ursg	you are so gay
ursh	you are so hot
urssb	you are so sexy baby
urstpid	you are stupid
urstu	you are stupid
urtb	you are the best
urtbitw	You are the best in the world!
urtrd	you retard
urtw	you are the worst
urw	you are weird
urws	you are wise
uryy4m	you are too wise for me
uryyfm	you are too wise for me
urz	yours
us	United States
usaf	United States Air Force
usc	up shit creek
usck	you suck
uscwap	up shit creek without a paddle
usd	United States Dollar
usp	unique selling proposition
ussr	Union of Soviet Socialist Republics
usu	usually
usuk	You Suck
usux	you suck
ut	unreal tournament
utfs	Use the fucking search
utfse	use the fucking search engine
utilit	utilitarian
utm	you tell me
uttm	you talking to me?
utube	youtube
utw	used to work
uty	it's up to you
uv	unpleasant visual
uve	You've
uvgtbsm	you have got to be shiting me
uw	you're welcome
uwc	you are welcome
uwiwu	you wish i was you
uwm	you want me
ux	user experience
uya	up your ass
uyab	up your ass bitch
v4g1n4	vagina
va	Virginia
vac	vacation
vag	vagina
vajayjay	vagina
valedict	valediction
var	variant
varr	variants
vars	variants
vb	verb
vbeg	very big evil grin
vbg	very big grin
vbl	verbal
vbl ns	verbal nouns
vbln	verbal noun
vbmg	very big mischievous grin
vbs	very big smile
vc	venture capital
vcda	vaya con dios, amigo
veg	vegetable
veg phys	vegetable physiology
veg physiol	vegetable physiology
venet	Venetian
vertebr	vertebrate
vet	veterinary, veterinary science
vet med	veterinary medicine
vet path	veterinary pathology
vet sci	veterinary science
vet surg	veterinary surgery
vf	very funny
vfe	Virgins 4 ever
vff	Verry Fucking Funny
vfm	value for money
vgg	very good game
vgh	Very good hand
vgl	very good looking
vgn	vegan
vic	Victoria
vict	Victoria
vid	Video
vids	Videos
vim	very important member
vind	vindication, vindicated
vindic	vindication, vindicated
vip	very important person
virg	virgin(s)
virol	virology
viv	very important visitor
viz	videlicet, ‘namely’
vleo	Very Low Earth Orbit
vlog	video log
vm	voice mail
vn	very nice
vnc	Virtual Network Computing
vnh	Very nice hand
voc	vocabulary
vocab	vocabulary
voip	voice over ip
vol	volume
vols	volumes
voy	voyage(s)
vrbs	virtual reality bull shit
vrsty	Varsity
vry	very
vsf	very sad face
vulg	vulgar(ly)
vwd	very well done
vweg	very wicked evil grin
vwp	very well played
vzit	visit
vzn	verizon
w afr	West Africa(n)
w ind	West Indies, West Indian
w indies	West Indies
w va	West Virginia
w wult	what would you like to talk about
w.b.s.	Write Back Soon
w.e	Whatever
w.e.	whatever
w.o.w	World of Warcraft
w.o.w.	world of warcraft
w's^	what's up?
w'sup	what's up
w@	what?
w/	with
w/b	write back
w/e	whatever
w/end	weekend
w/eva	whatever
w/o	with out
w/out	without
w/r/t	with regard to
w/u	with you
w\e	whatever
w00t	woohoo
w012d	word
w2d	what to do
w2f	want to fuck
w2g	Way to go
w2ho	want to hang out
w2m	want to meet
w33d	weed
w4m	women for men
w8	wait
w8am	wait a minute
w8ing	waiting
w8t4me	wait for me
w8ter	waiter
w9	wife in room
w911	Wife in room
wab	what a bitch
wabi	what a bright idea
waboc	what a bunch of crap
wabom	what a bunch of malarkey
waci	what a cool idea
wad	without a doubt
wad ^	what's up?
wadi	what a dumb idea
wadr	with all due respect
wadzup	What's up?
waef	when all else fails
waf	weird as fuck
wafb	what a fucking bitch
wafda	What a Fucking Dumb Ass
wafl	what a fucking loser
wafm	wait a fucking minute
wafn	what a fucken noob
wafs	warm and fuzzies
wafu	what a fuck up
wag	wild ass guess
wai	what an idiot
wak	what a kiss
waloc	what a load of crap
walstib	what a long strange trip it's been
wam	wait a minute
wambam	web application meets brick and mortar
wamh	with all my heart
wan2tlk	Want to talk
wana	want to
wanafuk	wanna fuck
wanker	masturbater
wanna	want to
wansta	wanna be ganster
warez	illegally obtained software
warwicksh	Warwickshire
was	what a slut
was^	What's Up
wassup	what's up?
wasup	What's Up
wat	what
wat's^	Whats Up
watcha	what are you
watev	whatever
wateva	whatever
watevr	whatever
watevs	whatever
wati	what a terrible idea
wats	whats
wats ^	whats up
wats^	what's up?
watz ^	What's up
wau	what about you
wau^2	what are you up to?
waug	Where are you going
wauw	what are you wearing
waw	what a whore
wawi	what a wonderful idea
waycb	when are you coming back
wayd	what are you doing
waygow	who are you going out with
wayh	why are you here
wayn	Where Are You Now
waysttm	why are you still talking to me
waysw	Why are you so weird
wayt	What are you thinking?
wayta	what are you talking about
wayut	what are you up to
waz	what is
waz ^	what's up
waz^	what's up?
wazz	what's
wazza	what's up
wazzup	what's up
wb	welcome back
wbagnfarb	would be a good name for a rock band
wbb	will be back
wbbs	will be back soon
wbp	Welcome Back Partner
wbrb	Will be right back
wbs	write back soon
wbu	what about you
wby	what about you
wc	who cares
wc3	Warcraft III
wca	who cares anyway
wcmtsu	we can't make this shit up
wcutm	what can you tell me
wcw	webcam whore
wd	well done
wdalyic	who died and left you in charge?
wddd	woopie doo da dey
wdf	Worth Dying For
wdhlm	why doesnt he love me?
wdidn	what do i do now
wdim	What Did I miss
wdr	with due respect
wdt	who does that?
wdtm	what does that mean
wduc	what do you care
wdum	what do you mean
wdus	What Did You Say
wdut	what do you think?
wdutom	what do you think of me
wduw	what do you want
wduwta	what do you wanna talk about
wduwtta	what do you want to talk about
wdwdn	what do we do now
wdwgw	where did we go wrong
wdydt	why do you do that
wdye	What do you expect
wdyl	who do you like
wdym	what do you mean
wdymbt	what do you mean by that?
wdys	What did you say
wdyt	what do you think
wdytia	who do you think i am?
wdyw	what do you want
wdywd	what do you want to do?
wdywtd	what do you want to do
wdywtdt	Why Do You Want To Do That?
wdywtta	what do you want to talk about
we're	We are
we've	We have
webby	webcam
weg	wicked evil grin
welc	welcome
wen	when
werkz	works
west	western
westm	Westminster
westmld	Westmoreland
westmorld	Westmoreland
westmrld	Westmoreland
wetsu	we eat this shit up
wev	Whatever
weve	what ever
wevr	whatever
wf	way fun
wfh	Working From Home
wfhw	what's for homework
wfm	Works For Me
wfyb	whatever floats your boat
wg	wicked gril
wgac	who gives a crap
wgaf	Who gives a fuck
wgaff	who gives a flying fuck
wgas	who gives a shit
wgasa	who gives a shit anyway
wgmgd	what get's measured get's done
wgo	what's going on
wgph2	Want to go play Halo 2?
wha	what?
whaddya	what do you
whaletail	thong
what^	what's up?
whatcha	what are you
whatev	whatever
whatevs	whatever
whats ^	whats up
whevah	where ever
whever	whatever
whf	Wanna have fun?
whit	with
whodi	friend
whr	where
whs	wanna have sex
wht	What
wht^	what up
whteva	what ever
whteve	whatever
whtever	whatever
whtevr	whatever
whtvr	whatever
whubu2	what have you been up to
whubut	what have you been up to
whut	what
whyb	where have you been
whyd	What Have You Done
whydtm	what have you done to me?
wibamu	well, i'll be a monkey's uncle
wibni	wouldn't it be nice if
wid	with
widout	without
wif	With
wiid	what if i did
wiifm	what's in it for me
wiify	what's in it for you
wiiwii	well it is what it is
wilb	workplace internet leisure browsing
wilco	will comply
wilts	Wiltshire
wiltsh	Wiltshire
wim	woe is me
winnar	winner
wio	without
wip	Work In progress
wirld	world
wis	Wisconsin
wisd	wisdom
wit	with
witcha	with you
witfits	what in the fuck is this shit
witfp	What is the fucking point
witu	with you
witw	what in the world
witwct	What is the world coming too
witwu	who is there with you
witwwyt	what in the world were you thinking
wiu	What is up?
wiv	with
wiw	wife is watching
wiwhu	wish I was holding you
wiwt	wish i was there
wiyp	what is your problem
wjwd	What Jesus Would Do
wk	week
wkd	wicked
wkend	weekend
wkewl	way cool
wkly	weekly
wl	will
wlc	welcome
wlcb	welcome back
wlcm	welcome
wld	would
wlkd	walked
wlmirl	would like to meet in real life
wlos	wife looking over Shoulder
wltm	would like to meet
wmao	working my ass off
wmd	Weapons Of Mass Destruction
wmgl	wish me good luck
wmhgb	where many have gone before
wml	Wish Me Luck
wmmows	wash my mouth out with soap
wmpl	wet my pants laughing
wmyb	What Makes You Beautiful
wn	when
wna	want to
wnkr	wanker
wnohgb	where no one has gone before
wnrn	why not right now
wnt	want
wntd	what not to do
woa	word of advice
woc	welcome on cam
wochit	watch it
woe	what on earth
woft	Waste of fucking time
wog	wise old guy
wogge	what on god's green earth?
wogs	waste of good sperm
wom	word of mouth
wonderf	wonderful
woof	well off older folks
woot	woohoo
wop	with out papers
worc	Worcestershire
worcestersh	Worcestershire
worcs	Worcestershire
word	cool
word up	cool
wot	what
wotam	waste of time and money
wotd	word of the day
wotevs	whatever
wotv	What's on Television?
wotw	word of the week
woum	what's on your mind
wowzers	wow
woz	was
wp	wrong person
wpe	worst president ever (Bush)
wrdo	weirdo
wrgad	who really gives a damn
wrgaf	Who really gives a fuck?
writ	writing(s)
wrk	work
wrm	which reminds me
wrng	wrong
wrt	with regard to
wrtg	writing
wrthls	Worthless
wru	where are you
wrud	what are you doing
wrudatm	what are you doing at the moment?
wruf	where are you from
wruu2	what are you up to
wsb	wanna cyber?
wsf	we should fuck
wshtf	when shit hits the fan
wsi	why should I
wsibt	when should i be there
wsidi	Why Should I Do It
wsop	world series of poker
wsu	what say you?
wswta	What shall we talk about?
wt	without thinking
wtb	Want to buy
wtbd	what's the big deal
wtbh	What the bloody hell
wtc	what the crap
wtcf	what the crazy fuck
wtd	what the deuce
wtdb	what's the difference between
wtf	what the fuck
wtfaud	what the fuck are you doing?
wtfay	who the fuck are you
wtfayd	what the fuck are you doing
wtfayt	why the fuck are you talking
wtfayta	What the Fuck are you talking about?
wtfb	what the fuck bitch
wtfbs	What the fuck bull shit
wtfc	Who The Fuck Cares
wtfdik	what the fuck do i know
wtfdum	what the fuck do you mean
wtfduw	What the fuck do you want?
wtfdyjs	what the fuck did you just say?
wtfdyw	what the fuck do you want
wtfe	What The Fuck Ever
wtfever	what the fuck ever
wtfg	What the fucking god
wtfgda	way to fucking go, dumb ass
wtfh	what the fucking hell
wtfhb	what the fucking hell bitch
wtfhwt	what the fucking hell was that
wtfigo	what the fuck is going on
wtfigoh	what the fuck is going on here
wtfit	what the fuck is that
wtfits	what the fuck is this shit
wtfiu	what the fuck is up
wtfiup	what the fuck is your problem
wtfiuwy	what the fuck is up with you
wtfiwwu	what the fuck is wrong with you
wtfiwwy	what the fuck is wrong with you
wtfiyp	what the fuck is your problem
wtfm	what the fuck, mate?
wtfmf	what the fuck mother fucker
wtfo	what the fuck over
wtfru	what the fuck are you
wtfrud	What the fuck are you doing?
wtfrudng	what the fuck are you doing
wtfrudoin	what the fuck are you doing
wtfruo	what the fuck are you on?
wtfruttd	what the fuck are you trying to do
wtfs	what the fucking shit?
wtfuah	what the fuck you asshole
wtful	What the fuck you loser
wtfwjd	what the fuck would jesus do
wtfwt	what the fuck was that
wtfwtd	what the fuck was that dude
wtfwtf	what the fuck was that for?
wtfwycm	why the fuck would you call me?
wtfya	what the fuck you asshole
wtfyb	what the fuck you bitch
wtg	way to go
wtg4a\\%/	want to go for a drink
wtgds	way to go dumb shit
wtgp	Want to go Private
wth	what the heck
wtharud	what the heck are you doing
wthau	who the hell are you
wthauwf	what the hell are you waiting for
wthay	who the hell are you
wthayd	what the heck are you doing
wthaydwmgf	what the hell are you doing with my girlfriend
wthdydt	why the hell did you do that
wthhyb	where the hell have you been?
wthigo	what the hell is going on
wthin	what the hell is next
wthiwwu	What the hell is wrong with you
wtho	want to hang out?
wthow	white trash headline of the week
wthru	Who the heck are you
wthrud	what the hell are you doing?
wths	want to have sex
wthswm	want to have sex with me
wthwt	what the hell was that?
wthwut	what the hell were you thinking
wthyi	what the hell you idiot
wtii	what time is it
wtiiot	What time is it over there?
wtityb	whatever, tell it to your blog
wtly	Welcome to last year
wtmf	what the mother fuck
wtmfh	what the mother fucking hell
wtmi	way too much information
wtmtr	what's the matter
wtn	what then now?
wtp	where's the party
wtrud	what are you doing
wts	want to sell
wtsds	where the sun don't shine
wtshtf	when the shit hits the fan
wtt	want to trade
wttm	without thinking too much
wttp	want to trade pictures?
wtv	Whatever
wtva	whatever
wtvr	whatever
wtwm	what time are we meeting?
wtwr	well that was random
wu	what's up
wu2kilu	want you to know I love you
wub	love
wubmgf	Will You Be My Girlfriend?
wubu2	what you been up to
wubut	what you been up too
wud	would
wudev	Whatever
wudn	what you doing now
wuf	where you from
wugowm	will you go out with me
wula	what you looking at?
wuld	would
wuny	wait until next year
wussup	What is up?
wut	what
wutcha	What are you
wuteva	whatever
wutevr	what ever
wuts	what is
wutup	What's Up
wuu2	what you up to
wuu22m	what you up to tomorrow
wuut	what you up to
wuv	love
wuwh	Wish you were here
wuwhima	wish you were here in my arms
wuwt	what's up with that
wuwta	what do you want to talk about
wuwtab	what do you want to talk about
wuwtb	what do you want to talk about
wuwtta	what you want to talk about
wuwu	what up with you
wuz	was
wuz4dina	what's for dinner?
wuza	what's up
wuzup	what's up
wwc	who would care
wwcnd	What would Chuck Norris do
wwdhd	What would David Hasselhoff do
wwe	World Wrestling Entertainment
wwgf	when we gonna fuck
wwhw	when where how why
wwikt	why would i know that
wwjd	what would jesus do?
wwno	walker wheels need oil
wwsd	what would satan do?
wwt	what was that
wwtf	what was that for
wwudtm	what would you do to me
wwut	what were you thinking
www	world wide web
wwwy	what's wrong with you
wwy	where were you
wwycm	when will you call me
wwyd	what would you do?
wx	weather
wy	Why?
wyas	wow you are stupid
wyatb	wish you all the best
wyauimg	Why you all up in my grill?
wybts	were you born this sexy
wyc	will you come
wycm	Will You Call Me
wyd	what are you doing
wyfm	would you fuck me?
wyg	will you go
wygac	when you get a chance
wygam	When you get a minute
wygiswypf	what you get is what you pay for
wygwm	will you go with me
wyhi	Would You Hit It?
wyhswm	would you have sex with me
wyltk	wouldn't you like to know
wylym	Watch Your Language Young Man
wym	What You Mean?
wymyn	women
wyn	What's your name
wyp	what's your problem?
wypsu	will you please shut up
wyrn	what's your real name?
wys	wow you're stupid
wysiayg	what you see is all you get
wysilob	what you see is a load of bullocks
wysitwirl	what you see is totally worthless in real life
wysiwyg	what you see is what you get
wyslpg	what you see looks pretty good
wyt	whatever you think
wytb	wish you the best
wyw	What You Want
wywh	wish you were here
wywo	while you were out
x	times
x treme	extreme
x-i-10	exciting
xb36t	Xbox 360
xbf	ex-boyfriend
xbl	xbox live
xcept	except
xcpt	except
xd	extreme droll
xellent	excellent
xfer	transfer
xgf	exgirlfriend
xing	crossing
xit	Exit
xl	extra large
xlnt	Excellent
xmas	christmas
xme	excuse me
xmpl	example
xoac	Christ on a crutch
xor	hacker
xover	crossover
xox	hugs and kisses
xoxo	hugs and kisses
xoxozzz	hugs and kisses and sweet dreams
xp	experience
xpect	expect
xplaned	explained
xpt	except
xqzt	exquisite
xroads	crossroads
xs	excess
xtc	ecstasy
xtra	extra
xtreme	extreme
xxcc	kiss, kiss, hug, hug
xyz	examine your zipper
xyzpdq	Examine Your Zipper Pretty Darn Quick
y	why
y w	you're welcome
y!a	yahoo answers
y'all	you all
y/n	yes or no
y/o	Years Old
y00	you
y2b	Youtube
y2k	year 2000
ya	yeah
ya yaya	yet another ya-ya (as in yo-yo)
yaaf	you are a fag
yaafm	You Are A Fucking Moron
yaagf	you are a good friend
yaai	You are an idiot
yaba	yet another bloody acronym
yacc	yet another calendar company
yaf	you're a fag
yafi	you're a fucking idiot
yafiygi	you asked for it you got it
yag	you are gay
yahoo	you always have other options
yajwd	you ain't just whistling dixie
yall	you all
yaotm	yet another off topic message
yapa	yet another pointless acronym
yaqw	You are quite welcome
yarbwyr	you're a right bleed'n wanker you are
yarly	yeah really
yas	you are stupid
yasan	You are such a nerd
yasf	you are so funny
yasfg	you are so fucking gay
yasg	you are so gay
yasw	you are so weird
yatb	you are the best
yatfm	you are too fucking much
yati	you're a total idiot
yatwl	you are the weakest link
yaun	yet another unix nerd
yaw	you are welcome
yayo	cocaine
yb	you bitch
ybbg	Your Brother By Grace
ybf	you've been fucked
ybs	you'll be sorry
yby	yeah baby yeah
ybya	you bet your ass
ybysa	you bet your sweet ass
ycliu	You could look it up
ycmtsu	you can't make this shit up
ycmu	you crack me up
ycntu	Why Cant You?
yct	your comment to
yctwuw	you can think what you want
ydkm	you don't know me
ydpos	you dumb piece of shit
ydtm	You're dead to me
ydufc	Why do fucking care?
yduwtk	why do you want to know
ye	yeah
yea	yeah
yearbk	yearbook
yeppies	young experimenting perfection seekers
yer	you're
yermom	your mother
yesh	yes
yew	you
yf	wife
yfb	you fucking bastard
yfg	you're fucking gay
yfi	you fucking idiot
ygbk	you gotta be kidding
ygbsm	you gotta be shiting me
ygg	you go girl
yglt	you're gonna love this
ygm	You Got Mail
ygp	you got punked!
ygpm	you've got a private message
ygrr	you got rick rolled
ygtbfkm	you've got to be fucking kidding me
ygtbk	you've got to be kidding
ygtbkm	you got to be kidding me
ygtbsm	You've got to be shitting me
ygtsr	you got that shit right
ygwypf	you get what you pay for
yh	yeah
yhbt	you've been trolled
yhew	you
yhf	you have failed
yhgtbsm	You Have Got To Be Shitting Me
yhl	you have lost
yhm	You have mail
yhpm	you have a private messge
yhtbt	You Had To Be There
yic	yours in christ
yid	yes, I do
yim	yahoo instant messenger
yiu	yes, i understand
yiwgp	yes, i will go private
yiwtgo	Yes, I want to go private
yk	you kidding
yki	You know it
ykisa	Your knight in shining armor
ykm	You're killing me
ykn	you know nothing
ykw	You Know What
ykwim	you know what I mean
ykwya	you know who you are
ykywywm	you know you wish you were me
ylb	you little bitch
ylh	your loving husband
yllo	you lie like obama
ylw	your loving wife
ym	your mom
ymak	you may already know
ymal	you might also like
ymbkm	you must be kidding me
yme	why me
ymfp	Your Most Favorite Person
ymg2c	your mom goes to college
ymgtc	Your Mom Goes To college
ymiaw	your mom is a whore
ymislidi	you make it sound like i did it
ymmd	You Made My Day
ymmv	your mileage may vary
ymrasu	Yes, My Retarded Ass Signed Up
ymybnycsii	you made your bed now you can sleep in it
yn	why not
yng	young
yngbt	you're not gonna believe this
ynk	you never know
ynm	yes, no, maybe
ynt	why not
ynw	you know what
yo	year old
yo'	your
yolo	you only live once
yomank	you owe me a new keyboard
yooh	you
yor	your
yorks	Yorkshire
yorksh	Yorkshire
you're	You are
you've	You have
youngin	young person
youre	you are
yoy	why oh why
yoyo	you're on your own
ypmf	you pissed me off
ypmo	you piss me off
ypom	your place or mine
yqw	you're quite welcome
yr	year
yrbk	Yearbook
yrms	You Rock My Socks
yrs	years
yrsaf	You Are Such A Fool
yrsm	you really scare me
yrss	you are so sexy
yru	why are you?
yrubm	why are you bugging me?
yrusm	Why are you so mean
yryocc	you're running on your own cookoo clock
ys	you suck
ysa	You Suck Ass
ysal	you suck at life
ysan	you're such a nerd
ysati	you suck at the internet
ysdiw8	why should i wait?
ysf	you stupid fuck
ysic	why should I care
ysitm	your shirt is too small
ysk	you should know
ysm	you scare me
ysoab	You son of a bitch
yss	you stupid shit
yswnt	why sleep when not tired?
ysyd	yeah, sure you do
yt	You there?
ytb	you're the best
ytd	year to date
ytf	why the fuck
ytfwudt	why the fuck would you do that?
ythwudt	Why the hell would you do that
ytis	You think I'm special?
ytm	you tell me
ytmnd	You're the man now, dog!
ytrnw	yeah that's right, now what?
yttm	you talk too much
yttt	you telling the truth?
yty	why thank you
yu	You
yua	you ugly ass
yumpi	young upwardly mobile professional idiot
yuo	you
yup	yes
yuppies	young urban professionals
yur	your
yust	why you say that
yvfw	you're very fucking welcome
yvw	you're very welcome
yw	you're welcome
ywapom	you want a piece of me?
ywia	You're welcome in advance
ywic	why would i care
yws	you want sex
ywsyls	you win some you lose some
ywud	yo whats up dude
ywvm	you're welcome very much
ywywm	you wish you were me
yy4u	too wise for you
yyssw	yeah yeah sure sure whatever
yysw	yeah, yeah, sure, whatever
z'omg	Oh my God
z0mg	oh my god
zeitschr	Zeitschrift
zeph	(in the Bible) Zephaniah
zerg	to gang up on someone
zex	sex
zh	Zero Hour
zig	cigarette
zmg	oh my god
zomfg	oh my fucking god
zomg	Oh my God
zomgzorrz	oh my god
zoogeogr	zoogeography
zool	zoology, zoological
zoot	woohoo
zot	Zero Tolerance
zt	zoo tycoon
zup	what's up?
zzz	sleeping, bored, tired
